"Query","Titulo","DOI","Revista","Abstract"
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Research on imaging method of gas-liquid interface in aerospace propellant tanks based on ultrasonic tomography","10.1088/1361-6501/adcce5","Scopus","The distribution of gas and liquid within aerospace liquid propellant tanks exhibits uncertainty under microgravity environments, which reflects the working state of the propellant tank, affecting the timing of pressure relief, overall attitude control, and propellant mass gauging. Current ground-based propellant mass gauging technologies have become relatively mature, with diverse methods, high measurement accuracy, and assured reliability and safety. However, in spacecraft on-orbit measurements, the accuracy of commonly used ground-based methods decreases due to limitations in techniques for determining the gas–liquid interface position. This paper proposes a gas–liquid distribution reconstruction method based on ultrasonic tomography for spacecraft tank measurement scenarios. It investigates the priority back projection method, elliptical reflection method, and local curvature reconstruction method for gas–liquid interface based on transmitted signals, elliptical reflection signals, and echo signals, respectively. The image is processed based on the prior characteristics of the gas–liquid distribution material field, with the introduction of morphological image processing methods. Both intrusive and non-intrusive measurement experiments were conducted for validation. For intrusive experiments, the mean area estimation error in the gas domain is approximately 8.52%, with a positioning error of approximately 1.88 mm; and for non-intrusive experiments, the mean area estimation error is approximately 6.51%, with a positioning error of approximately 3.87 mm."
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Capacitive and Non-Contact Liquid Level Detection Sensor Based on Interdigitated Electrodes with Flexible Substrate","10.3390/electronics13112228","Scopus","  In this paper, a capacitive flexible tactile sensor was designed to measure the pressure of objects based on MEMS technology. This sensor is a structure of a 4x4 array, with metal Ag as the capacitive electrode, which forms the tactile sensing unit of the sensor. The structure of capacitive flexible tactile sensor was designed and an experimental platform was established to test the performance. The tests show that when the thickness of the intermediate layer is 2 mm and the density is medium, the sensor's sensitivity is the best while the time of both the response and the rebound is fast. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Noninvasive Flow Bubble Detection for Small Pipes Based on Piezoelectric Micromachined Ultrasonic Transducers","10.1109/NEMS60219.2024.10639848","Scopus","Ultrasonic flow bubble detection plays a significant role in industrial control and chemical production, as it enables noninvasive monitoring of hydraulic systems, oil degradation, and the progression of chemical reactions. However, the conventional bulk PZT ultrasonic transducers currently employed for bubble detection are characterized by their large size and limited integration capabilities with integrated circuits (ICs). This constrains their application for real-time and long-term monitoring in small-diameter pipes. This study highlights the potential of piezoelectric micromachined ultrasonic transducers (PMUTs) for real-time bubble detection in small pipes based on the principle of acoustic energy attenuation. The operating frequency of PMUTs has been theoretically optimized to enhance the performance of bubble sensing. Our fabricated PMUTs chips successfully measured bubbles in water, indicating an excellent linear relationship between the received voltages and bubble diameters within the 1-5 mm. Additionally, subsequent research indicates that environmental conditions, including temperature and flow medium types, have negligible impact on the bubble measurement. These results demonstrate the robustness of MUTs-based ultrasonic bubble detection techniques."
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Noninvasive fluid bubble detection based on capacitive micromachined ultrasonic transducers","10.1038/s41378-023-00491-6","Scopus","  Capacitive Micromachined Ultrasonic Transducer (CMUT) has a wild range of applications in medical detecting and imaging fields. However, operating under self-generating-self-receiving (SGSR) method usually results in poor sensitivity. But the sensitivity cannot be improved simply by increasing the resonant frequency since the frequency of a specific kind of CMUT is designed for specific usage. In this paper, based on one specific type of CMUT, mechanical model is built and simulation analysis is demonstrated. A brand-new method one-generating-multiple-receiving (OGMR) is introduced and a special circuit model has been designed to improve the signal to thermal noise ratio. By increasing the number of receiving capacitors from 1 to 8, we increased the signal-noise ratio to 2.83 times. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Improved phase fraction measurement via non-intrusive optical sensing for vertical upward gas -liquid flow","10.1016/j.jgsce.2023.204948","Scopus","  In a previous work we have demonstrated the feasibility of high-frame-rate, fast-neutron radiography of generic air-water two-phase flows in a 1.5 cm thick, rectangular flow channel. The experiments have been carried out at the high-intensity, white-beam facility of the Physikalisch-Technische Bundesanstalt, Germany, using an multi-frame, time-resolved detector developed for fast neutron resonance radiography. The results were however not fully optimal and therefore we have decided to modify the detector and optimize it for the given application, which is described in the present work. Furthermore, we managed to improve the image post-processing methodology and the noise suppression. Using the tailored detector and the improved post-processing significant increase in the image quality and an order of magnitude lower exposure times, down to 3.33 ms, have been achieved with minimized motion artifacts. Similar to the previous study, different two-phase flow regimes such as bubbly slug and churn flows have been examined. The enhanced imaging quality enables an improved prediction of two-phase flow parameters like the instantaneous volumetric gas fraction, bubble size and bubble velocities. Instantaneous velocity fields around the gas enclosures can also be more robustly predicted using optical flow methods as previously. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Bubble-Templated Design of Superelastic Cellulose Foam as a Durable Ionotropic Sensor","10.1021/acssuschemeng.1c07830.s001","CrossRef","  Flexible pressure sensors are an attractive area of research due to their potential applications in biomedical sensing and wearable devices. Among flexible and wearable pressure sensors, capacitive pressure sensors show significant advantages, owing to their potential low cost, ultra-low power consumption, tolerance to temperature variations, high sensitivity, and low hysteresis. In this work, we develop capacitive flexible pressure sensors using graphene based conductive foams. In these soft and porous conductive foams, graphene is present either as a coating of the pores in the foam, inside the structure of the foam itself, or a combination of both. We demonstrate that they are durable and sensitive at low pressure ranges (<10 kPa). Systematic analysis of the different pressure sensors revealed that the porous foams with graphene coated pores are the most sensitive (~ 0.137/kPa) in the pressure range 0-6kPa. Additionally, we achieved very low limit of detection of 0.14 Pa, which is one of the lowest values reported. Further, we demonstrated the potential applications of our pressure sensors by showing detection of weak physiological signals of the body. Our work is highly relevant for research in flexible pressure sensors based on conductive foams as it shows the impact of different ways of incorporating conductive material on performance of pressure sensors. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Bubble and foam chemistry - new areas of foam research","10.1017/cbo9781316106938.013","CrossRef","You never change things by fighting the existing reality. To change something, build a new model that makes the existing model obsolete. R. Buckminster Fuller, www.azquotes.com Antibubbles Antibubbles, which have sometimes been referred to as negative bubbles or inverted bubbles, have been known for at least 70 years. They were first reported in 1931/2 by Katalinic (1) and Hughes and Hughes (2) and originally considered as a scientific curiosity. Essentially, the structure of an antibubble consists of a thin shell or core of air which is separated by liquids, with the surfactant adsorbed at the inner and outer interfaces of the shell. The polar heads of the chemical surfactant are immersed in the aqueous medium, while the nonpolar tails face and extend into the gas. This is the exact opposite situation to a bubble where the thin shell of liquid separates the air inside and outside the bubble. The shell of air on the antibubble is about 10 nm thick and can generate interference colors. Antibubbles are formed at surfactant concentrations below and above the CMC, and several different types of surfactants have been used in their preparation. Dishwashing detergents were often used in the generation process, but more recently they have been prepared using different types of conventional long-chain nonionic, anion and protein (beer) surfactants (3). It is also interesting to note that antibubbles can be generated and stabilized by partially hydrophobic particles (4). Most studies in antibubbles have been mainly concerned with generation rather than stability. In Fig. 12.1, the structure of a common bubble is compared with chemically stabilized antibubbles and particle-stabilized antibubbles. In recent years, several interesting applications have been put forward. For example, it has been suggested that they can be used as antifoams or new types of lubricants analogous to ball bearings or filtration systems in which the web of passageways would be permeable to gas molecules (5). Since antibubbles provide twice the surface area of ordinary bubbles of the same size, another potential application could be the control of chemical reactions. It has also been shown that it is possible to replace air in the antibubble inner shell with other liquids or dyes, suggesting that they could be used as a drug delivery system."
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Three-Dimensional Binary-Conductive-Network Silver Nanowires@Thiolated Graphene Foam-Based Room-Temperature Self-Healable Strain Sensor for Human Motion Detection","10.1021/acsami.0c13442.s001","CrossRef","  Flexible strain sensors are critical to several potential intelligent applications, such as human-machine interfaces, soft robotics, human motion detection, and safety monitoring of components. Stretchable functional materials are important components of strain sensors, and they are still major challenges for high performance strain sensors. Herein, we demonstrate a novel strategy of designing and optimizing flexible strain sensor by developing topological structure modulated high permittivity elastic nanocomposite. The topological structure with three-phase percolative nano-nanonetworks produces synergistic effects of space charge enhancement and local electric field modulation, and it gives rise to an ultrahigh dielectric permittivity (113.4, at 1 kHz, over 1500% enhancement than that of commercial elastic polyurethane matrix) and excellent comprehensive electromechanical performance, and the optimal comprehensive electromechanical performance reaches to 542.91 MPa-1, which is over 9-fold than that of commercial polyurethane elastic film. An interdigital capacitive strain sensor is designed using the topological structured elastic dielectric nanocomposite. It possesses high initial capacitance density and positive capacitance response with stain, achieving high signal-to-noise ratio, high capacitance response sensitivity, and wide linear range, and it breaks through disadvantages of negative sensitivity and narrow linear range for conventional interdigital strain sensors. The prepared integrated strain sensor arrays are able to measure local strain of convoluted surfaces and monitor the motion of soft actuators in real time, and they would make conditions for intelligent control systems and the study of morphological intelligence. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Nickel Foam-Decorated Hollow-Co3o4/Go Nanocomposites a Highly Sensitive Non-Enzymatic Electrochemical Sensor for Glucose Detection","10.2139/ssrn.4717133","CrossRef","  A novel mediator-free, non-enzymatic electrochemical sensor, based on a graphene-Schottky junction, was fabricated for glucose detection. The sensor offers a promising alternative to the conventional enzyme-catalyzed electrochemical continuous glucose monitoring systems (CGM), as it overcomes many of the drawbacks attributed to the enzymatic nature; namely, irreversibility, drift, and interference with body fluids, which affect their accuracy, reliability and longevity. Enhanced performance of the sensors is demonstrated through the band interaction at the graphene-Schottky junction, which yields stronger forward/reverse currents in response to 50 {\mu}L glucose drop. Under optimized conditions, the linear response of the sensor to glucose concentration was valid in the range from 0 to 15 mmol/L with a detection limit of 0.5 mmol/L. The results indicated that the proposed sensor provided a highly sensitive, more facile method with good reproducibility for continuous glucose detection. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Bubble size measurements and foam test methods","10.1017/cbo9781316106938.012","CrossRef","  We report acoustic experiments on foam systems. We have recorded the sound emitted by crackling cells during the collapsing of foams. The sound pattern is then analyzed using classical methods of statistical physics. Fundamental processes at the surface of the collapsing foam are found. In particular, size is not a relevant parameter for exploding bubbles. "
